School Name,Student Number,Grade,Program Code,BPS Race,First Lang,Home Lang,Home Lang 2,Home Lang 3,SN Code,21-22 ACCESS Overall,22-23 ACCESS Overall,,,,,,,,,,,,,,,,,
School CP,214332,11,BLS,Hispanic,Spanish,Spanish,,,R2,2.9,3.1,,,,,,,,,,,,,,,,,
School AV,295348,2,SI4,Black,English,English,Haitian Creole,,Y3,2.5,2.7,,,,,,,,,,,,,,,,,
School AA,184752,5,BLM,Black,Haitian Creole,Haitian Creole,,,,2.9,3.1,,,,,,,,,,,,,,,,,
School BP,268599,12,REG,Hispanic,Spanish,Other,Spanish,,R1,2.4,2.6,,,,,,,,,,,,,,,,,
School AI,117016,1,SX4,Black,Haitian Creole,English,Haitian Creole,,X4,2,2.2,,,,,,,,,,,,,,,,,
School DA,146062,7,TLS,Hispanic,Spanish,English,,,R1,2.9,3.1,,,,,,,,,,,,,,,,,
School C,109764,5,REG,Hispanic,Spanish,English,Spanish,,,2.8,3,,,,,,,,,,,,,,,,,
School Q,181532,2,REG,Black,Cape Verdean,Cape Verdean,,,R1,2,2.2,,,,,,,,,,,,,,,,,
School X,282151,7,TLS,Hispanic,Spanish,Spanish,,,,2.8,3,,,,,,,,,,,,,,,,,
School CV,263570,10,TLS,Hispanic,Spanish,Spanish,,,,2.3,2.5,,,,,,,,,,,,,,,,,
School J,207841,2,REG,Black,Haitian Creole,French,Haitian Creole,,S1,2.4,2.6,,,,,,,,,,,,,,,,,
School CM,289512,1,REG,Hispanic,English,English,Spanish,,S1,2,2.2,,,,,,,,,,,,,,,,,
School CP,257835,9,BLS,Hispanic,Spanish,Spanish,,,,2.3,2.5,,,,,,,,,,,,,,,,,
School BB,197686,2,REG,Hispanic,Spanish,Spanish,English,English,,2.3,2.5,,,,,,,,,,,,,,,,,
School BQ,240903,2,REG,Hispanic,Spanish,Spanish,English,,,2,2.2,,,,,,,,,,,,,,,,,
School AO,101433,3,REG,Black,Haitian Creole,Haitian Creole,,,,2.4,2.6,,,,,,,,,,,,,,,,,
School Q,278188,1,REG,Black,Kinyarwandu,Kinyarwandu,,,,2.3,2.5,,,,,,,,,,,,,,,,,
School CJ,294096,8,SL4,Hispanic,English,English,Spanish,,L4,2.3,2.5,,,,,,,,,,,,,,,,,
School BU,182525,11,BLM,Hispanic,Spanish,Spanish,,,,2.4,2.6,,,,,,,,,,,,,,,,,
School AS,286499,12,SI4,Hispanic,Spanish,English,,,L3,2.8,3,,,,,,,,,,,,,,,,,
School CV,123413,10,TLS,Hispanic,Spanish,Spanish,,,,2.4,2.6,,,,,,,,,,,,,,,,,
School BU,151799,10,BLM,Black,Cape Verdean,Cape Verdean,,,,2.3,2.5,,,,,,,,,,,,,,,,,
School W,225931,12,BLS,Hispanic,Spanish,English,Spanish,,,2.8,3,,,,,,,,,,,,,,,,,
School X,156613,3,TLS,Hispanic,Spanish,Spanish,,,,2.4,2.6,,,,,,,,,,,,,,,,,
School P,197501,2,TLS,Hispanic,Spanish,English,Spanish,,,2,2.2,,,,,,,,,,,,,,,,,
School X,287408,2,TLS,Hispanic,Spanish,Spanish,,,,2.4,2.6,,,,,,,,,,,,,,,,,
School CV,212296,10,TLS,Hispanic,Spanish,Spanish,,,,2.4,2.6,,,,,,,,,,,,,,,,,
School BQ,288205,2,REG,Hispanic,Spanish,Spanish,English,,,2.4,2.6,,,,,,,,,,,,,,,,,
School AK,161586,5,REG,Hispanic,Spanish,English,Spanish,,,2.8,3,,,,,,,,,,,,,,,,,
School W,226377,10,BLS,Hispanic,Spanish,Spanish,,,,2,2.2,,,,,,,,,,,,,,,,,
School S,242876,6,REG,Hispanic,Spanish,Spanish,,,,2.9,3.1,,,,,,,,,,,,,,,,,
School N,229830,2,REG,Hispanic,Spanish,Spanish,,,,2.9,3.1,,,,,,,,,,,,,,,,,
School CV,194775,9,TLS,Hispanic,Spanish,English,Spanish,,,2.9,3.1,,,,,,,,,,,,,,,,,
School BB,189115,1,REG,Hispanic,Portuguese,English,Spanish,Cape Verdean,,2.4,2.6,,,,,,,,,,,,,,,,,
School BZ,262877,1,REG,Black,Haitian Creole,Haitian Creole,English,Spanish,,2.5,2.7,,,,,,,,,,,,,,,,,
School AK,105415,5,REG,Hispanic,Spanish,Spanish,English,,,2.3,2.5,,,,,,,,,,,,,,,,,
School CB,119281,11,SA4,Hispanic,Spanish,Spanish,,,A4,2.8,3,,,,,,,,,,,,,,,,,
School BF,169039,6,SL4,Asian,Toishanese,Toishanese,,,L4,2.8,3,,,,,,,,,,,,,,,,,
School BP,160655,12,BLK,Black,Cape Verdean,Cape Verdean,,,,2.9,3.1,,,,,,,,,,,,,,,,,
School BP,167707,9,BLK,Black,Cape Verdean,Cape Verdean,,,,2.8,3,,,,,,,,,,,,,,,,,
School BP,223012,7,BLK,Black,Cape Verdean,English,Portuguese,,,2.8,3,,,,,,,,,,,,,,,,,
School BW,109973,2,SI4,White,Spanish,Spanish,,,Y3,2.4,2.6,,,,,,,,,,,,,,,,,
School CJ,212743,7,BLS,Hispanic,Spanish,English,Spanish,,R1,2.9,3.1,,,,,,,,,,,,,,,,,
School BG,182465,3,REG,Hispanic,Spanish,English,Spanish,,,2.4,2.6,,,,,,,,,,,,,,,,,
School BT,240278,1,REG,Hispanic,English,English,Spanish,,,2.6,2.8,,,,,,,,,,,,,,,,,
School CE,281884,2,BLS,Hispanic,Spanish,Spanish,,,,2.7,2.9,,,,,,,,,,,,,,,,,
School J,123370,2,BLK,Asian,Cape Verdean,Cape Verdean,English,,,2.7,2.9,,,,,,,,,,,,,,,,,
School C,131195,2,BLS,Hispanic,Spanish,English,Spanish,,R1,2.2,2.4,,,,,,,,,,,,,,,,,
School AA,210083,2,REG,Hispanic,English,English,Spanish,Cantonese,,2.7,2.9,,,,,,,,,,,,,,,,,
School BG,226829,2,REG,Black,English,English,Cape Verdean,,R2,2.7,2.9,,,,,,,,,,,,,,,,,
School CN,256544,9,SA4,Other,Cape Verdean,Cape Verdean,,,A4,2.6,2.8,,,,,,,,,,,,,,,,,
School CP,108660,8,REG,Hispanic,Spanish,Spanish,,,,2.7,2.9,,,,,,,,,,,,,,,,,
School BC,221521,3,SI4,Black,Cape Verdean,English,Cape Verdean,,Y3,2.7,2.9,,,,,,,,,,,,,,,,,
School AV,201066,2,SX4,Black,English,English,,,X4,2.7,2.9,,,,,,,,,,,,,,,,,
School BY,139452,3,REG,Nat. Amer.,Spanish,English,Spanish,,,2.6,2.8,,,,,,,,,,,,,,,,,
School AD,261136,7,BLM,Hispanic,Spanish,Spanish,,,,2.1,2.3,,,,,,,,,,,,,,,,,
School L,177035,2,SI4,Hispanic,Spanish,Spanish,,,Y3,2.7,2.9,,,,,,,,,,,,,,,,,
School CO,274629,3,SI4,Hispanic,Spanish,Spanish,English,,L3,2.6,2.8,,,,,,,,,,,,,,,,,
School AU,127819,1,BLM,Black,Haitian Creole,English,Haitian Creole,,,2.6,2.8,,,,,,,,,,,,,,,,,
School T,162393,3,BLM,Hispanic,Spanish,Spanish,,,,2.2,2.4,,,,,,,,,,,,,,,,,
School P,256906,3,TLS,Hispanic,Spanish,Spanish,,,R2,2.2,2.4,,,,,,,,,,,,,,,,,
School BV,166291,10,BLS,Hispanic,Spanish,Spanish,,,,2.2,2.4,,,,,,,,,,,,,,,,,
School AK,267057,3,BLS,Hispanic,Spanish,English,Spanish,,R2,2.2,2.4,,,,,,,,,,,,,,,,,
School AR,156567,1,REG,Hispanic,English,English,Spanish,Patois,,2.2,2.4,,,,,,,,,,,,,,,,,
School DB,152065,7,SI4,Black,Crioulo,English,Cape Verdean,,L3,2.6,2.8,,,,,,,,,,,,,,,,,
School BP,289674,7,BLK,Black,Cape Verdean,Cape Verdean,Portuguese,,,2.6,2.8,,,,,,,,,,,,,,,,,
School BQ,257426,1,REG,Asian,Toishanese,Toishanese,English,,,2.7,2.9,,,,,,,,,,,,,,,,,
School X,110575,5,TLS,Hispanic,Spanish,Spanish,,,,2.7,2.9,,,,,,,,,,,,,,,,,
School DA,147415,5,TLS,Hispanic,Spanish,Spanish,,,R1,2.6,2.8,,,,,,,,,,,,,,,,,
School AJ,165362,4,TLS,Hispanic,Spanish,Spanish,,,,2.6,2.8,,,,,,,,,,,,,,,,,
School W,237117,11,BLS,Hispanic,Spanish,Spanish,,,,2.7,2.9,,,,,,,,,,,,,,,,,
School CF,113468,7,REG,Hispanic,Spanish,English,Spanish,,,2.7,2.9,,,,,,,,,,,,,,,,,
School AJ,184071,2,TLE,Hispanic,Spanish,English,Spanish,,,2.7,2.9,,,,,,,,,,,,,,,,,
School BO,114253,2,REG,Hispanic,Spanish,Spanish,,,,2.6,2.8,,,,,,,,,,,,,,,,,
School J,234067,5,BLK,Black,Cape Verdean,Cape Verdean,,,R1,2.2,2.4,,,,,,,,,,,,,,,,,
School CD,136076,11,BLS,Hispanic,Spanish,Spanish,,,,2.7,2.9,,,,,,,,,,,,,,,,,
School C,106553,3,BLS,Hispanic,Spanish,Spanish,,,,2.6,2.8,,,,,,,,,,,,,,,,,
School BU,188944,12,BLM,Hispanic,Spanish,Spanish,,,,2.6,2.8,,,,,,,,,,,,,,,,,
School BK,205463,1,REG,Hispanic,English,English,Spanish,,,2.6,2.8,,,,,,,,,,,,,,,,,
School CB,121543,10,BLV,Asian,Vietnamese,Vietnamese,,,,2.7,2.9,,,,,,,,,,,,,,,,,
School CR,209675,12,BLM,Hispanic,Spanish,Spanish,,,,2.6,2.8,,,,,,,,,,,,,,,,,
School L,222832,6,SI4,Hispanic,Spanish,Spanish,,,L3,2.6,2.8,,,,,,,,,,,,,,,,,
School O,183355,3,BLM,Hispanic,Spanish,Spanish,,,R1,2.6,2.8,,,,,,,,,,,,,,,,,
School L,215796,7,REG,Hispanic,Spanish,Other,Spanish,,R2,2.7,2.9,,,,,,,,,,,,,,,,,
School BB,139948,6,REG,Hispanic,English,English,Spanish,,R1,2.6,2.8,,,,,,,,,,,,,,,,,
School X,280705,4,TLS,Hispanic,Spanish,Spanish,,,,2.6,2.8,,,,,,,,,,,,,,,,,
School P,175411,2,TLS,Hispanic,Spanish,Spanish,,,,2.2,2.4,,,,,,,,,,,,,,,,,
School AF,266756,7,SI4,Hispanic,Spanish,English,Spanish,,L3,2.7,2.9,,,,,,,,,,,,,,,,,
School V,177634,9,REG,Hispanic,Spanish,English,Spanish,,,2.6,2.8,,,,,,,,,,,,,,,,,
School U,279933,7,SQ4,Hispanic,Spanish,English,Spanish,,Q4,2.2,2.4,,,,,,,,,,,,,,,,,
School J,131783,2,BLK,Black,Cape Verdean,English,Portuguese,,S1,2.6,2.8,,,,,,,,,,,,,,,,,
School V,122050,9,BLH,Black,Haitian Creole,Haitian Creole,,,,2.7,2.9,,,,,,,,,,,,,,,,,
School AL,128043,7,REG,Hispanic,Spanish,Spanish,English,,R2,2.6,2.8,,,,,,,,,,,,,,,,,
School CF,117988,8,SL4,Hispanic,Spanish,English,Spanish,,L4,2.2,2.4,,,,,,,,,,,,,,,,,
School A,282232,7,REG,Hispanic,Spanish,English,Spanish,,,2.7,2.9,,,,,,,,,,,,,,,,,
School L,237225,3,SI4,Hispanic,Spanish,Spanish,,,Y3,2.2,2.4,,,,,,,,,,,,,,,,,
School V,284553,7,BIH,Black,Haitian Creole,Haitian Creole,,,,2.7,2.9,,,,,,,,,,,,,,,,,
School O,289880,4,BLM,Hispanic,Spanish,Spanish,,,,2.5,2.6,,,,,,,,,,,,,,,,,
School N,272035,2,BLS,Hispanic,Spanish,Spanish,,,,2.4,2.5,,,,,,,,,,,,,,,,,
School BQ,269912,7,REG,White,Arabic,Arabic,,,,2,2.1,,,,,,,,,,,,,,,,,
School Q,190791,1,REG,Asian,Bengali,Bengali,,,,2.5,2.6,,,,,,,,,,,,,,,,,
School A,108162,3,REG,Hispanic,English,English,Spanish,,,2.8,2.9,,,,,,,,,,,,,,,,,
School CC,180903,2,REG,Hispanic,Spanish,Spanish,English,,,2.3,2.4,,,,,,,,,,,,,,,,,
School DM,280173,SP,SH4,White,Portuguese,English,Portuguese,,H4,2.6,2.7,,,,,,,,,,,,,,,,,
School CP,225770,10,BLS,Hispanic,Spanish,Spanish,,,,2.6,2.7,,,,,,,,,,,,,,,,,
School C,248559,3,SI4,Hispanic,Spanish,Spanish,,,L3,2.4,2.5,,,,,,,,,,,,,,,,,
School W,296030,11,SW4,Hispanic,Spanish,English,Spanish,,W4,2.8,2.9,,,,,,,,,,,,,,,,,
School BU,283167,12,BLM,Asian,Vietnamese,English,Vietnamese,,,2.5,2.6,,,,,,,,,,,,,,,,,
School CA,163239,11,BLS,Hispanic,Spanish,Spanish,,,,2.8,2.9,,,,,,,,,,,,,,,,,
School CB,235826,10,SL4,Black,Cape Verdean,English,Cape Verdean,Portuguese,L4,2,2.1,,,,,,,,,,,,,,,,,
School AI,228548,4,REG,Hispanic,Spanish,English,Spanish,,R2,2.5,2.6,,,,,,,,,,,,,,,,,
School AY,207559,2,SI4,Black,English,English,French,,L3,2.4,2.5,,,,,,,,,,,,,,,,,
School C,215378,6,REG,Hispanic,Spanish,Spanish,,,R1,2.3,2.4,,,,,,,,,,,,,,,,,
School W,257341,12,BLS,Hispanic,Spanish,English,Spanish,,,2.9,3,,,,,,,,,,,,,,,,,
School BU,212114,9,BLM,Black,Cape Verdean,Cape Verdean,,,,2.8,2.9,,,,,,,,,,,,,,,,,
School AD,201542,8,SQ4,Hispanic,Spanish,Spanish,,,Q4,2.9,3,,,,,,,,,,,,,,,,,
School CP,260932,8,SI4,Hispanic,Spanish,Spanish,,,L3,2.4,2.5,,,,,,,,,,,,,,,,,
School BN,145997,8,BLM,Hispanic,Spanish,Spanish,,,,2.1,2.2,,,,,,,,,,,,,,,,,
School AL,202973,7,SI4,Hispanic,Spanish,Other,,,A3,2.9,3,,,,,,,,,,,,,,,,,
School AP,298066,3,BLS,Hispanic,Spanish,English,Spanish,,R1,2.1,2.2,,,,,,,,,,,,,,,,,
School BL,179229,3,REG,Black,Haitian Creole,English,Haitian Creole,,,2.8,2.9,,,,,,,,,,,,,,,,,
School CN,109338,9,VEP,Hispanic,Spanish,Spanish,,,,2,2.1,,,,,,,,,,,,,,,,,
School CP,112794,9,REG,Hispanic,English,English,,,,2.6,2.7,,,,,,,,,,,,,,,,,
School AO,101866,2,REG,Black,English,English,Haitian Creole,,,2.6,2.7,,,,,,,,,,,,,,,,,
School C,264016,4,REG,Hispanic,Spanish,English,Spanish,,P1,2.9,3,,,,,,,,,,,,,,,,,
School T,198471,6,BLM,Hispanic,Spanish,Spanish,,,,2.6,2.7,,,,,,,,,,,,,,,,,
School CV,148711,11,TLS,Hispanic,Spanish,Spanish,,,,2.5,2.6,,,,,,,,,,,,,,,,,
School CB,193092,11,REG,Black,Cape Verdean,English,Cape Verdean,Portuguese,,2.1,2.2,,,,,,,,,,,,,,,,,
School N,174871,2,BLS,Hispanic,Spanish,English,Spanish,,S1,2.5,2.6,,,,,,,,,,,,,,,,,
School D,208142,1,REG,Hispanic,English,English,Spanish,,,2.9,3,,,,,,,,,,,,,,,,,
School M,209436,2,BLS,Hispanic,Spanish,English,Spanish,,,2.8,2.9,,,,,,,,,,,,,,,,,
School N,155810,3,SI4,Hispanic,Spanish,Spanish,,,L3,2.3,2.4,,,,,,,,,,,,,,,,,
School BX,198973,10,BLS,Hispanic,Spanish,Spanish,,,,2.3,2.4,,,,,,,,,,,,,,,,,
School CP,278476,12,SI4,Black,Somali,English,,,X3,2.9,3,,,,,,,,,,,,,,,,,
School CP,191964,9,BLS,Hispanic,Spanish,Spanish,,,,2.8,2.9,,,,,,,,,,,,,,,,,
School DD,134407,11,REG,Black,Haitian Creole,English,Haitian Creole,,,2,2.1,,,,,,,,,,,,,,,,,
School V,142300,12,BLH,Black,Haitian Creole,Haitian Creole,,,,2,2.1,,,,,,,,,,,,,,,,,
School BW,129197,6,SI4,Black,Cape Verdean,Cape Verdean,,,L3,2.9,3,,,,,,,,,,,,,,,,,
School A,100311,3,REG,Hispanic,Spanish,Spanish,,,,2.8,2.9,,,,,,,,,,,,,,,,,
School DD,196865,9,REG,Hispanic,English,English,English,English,,2.9,3,,,,,,,,,,,,,,,,,
School AJ,146875,1,TLE,Hispanic,English,English,Spanish,,,2.9,3,,,,,,,,,,,,,,,,,
School BR,198808,2,BLH,Black,Haitian Creole,English,Haitian Creole,,,2.1,2.2,,,,,,,,,,,,,,,,,
School CN,215873,10,VEP,Hispanic,Spanish,Spanish,,,,2.4,2.5,,,,,,,,,,,,,,,,,
School BO,141125,5,SI4,Hispanic,Spanish,Spanish,,,X3,2.6,2.7,,,,,,,,,,,,,,,,,
School BZ,139449,1,REG,Hispanic,Spanish,English,Spanish,,,2.9,3,,,,,,,,,,,,,,,,,
School L,183978,3,BLS,Hispanic,Spanish,English,Spanish,,,2.9,3,,,,,,,,,,,,,,,,,
School W,288433,12,BLS,Hispanic,Spanish,Spanish,English,,,2.3,2.4,,,,,,,,,,,,,,,,,
School J,119229,6,REG,Hispanic,Spanish,English,Spanish,,R2,2.1,2.2,,,,,,,,,,,,,,,,,
School CA,257075,7,SW4,Hispanic,Spanish,English,Spanish,,W4,2.6,2.7,,,,,,,,,,,,,,,,,
School CD,178583,11,BLS,Hispanic,Spanish,Spanish,,,,2.4,2.5,,,,,,,,,,,,,,,,,
School CW,137496,8,REG,Black,Other,English,Ibo,,,2.5,2.6,,,,,,,,,,,,,,,,,
School CN,173655,10,SL4,Hispanic,Spanish,English,Spanish,,L4,2.1,2.2,,,,,,,,,,,,,,,,,
School AK,266299,7,REG,Hispanic,Spanish,English,,,,2.9,3,,,,,,,,,,,,,,,,,
School AF,197106,1,SI4,Black,Somali,English,,,Y3,2.5,2.6,,,,,,,,,,,,,,,,,
School BQ,215539,2,REG,Hispanic,Spanish,English,Spanish,,,2.4,2.5,,,,,,,,,,,,,,,,,
School B,281236,8,REG,Hispanic,Spanish,Spanish,,,,2.5,2.6,,,,,,,,,,,,,,,,,
School CN,295228,10,VEP,Hispanic,Spanish,Spanish,,,,2.6,2.7,,,,,,,,,,,,,,,,,
School W,133768,11,BLS,Hispanic,Spanish,Spanish,,,,2,2.1,,,,,,,,,,,,,,,,,
School DB,177926,12,REG,Hispanic,Spanish,Spanish,,,,2.9,3,,,,,,,,,,,,,,,,,
School W,182280,11,BLS,Hispanic,Spanish,Spanish,,,,2.1,2.2,,,,,,,,,,,,,,,,,
School F,131545,2,SI4,White,Bulgarian,English,Bulgarian,,L3,2.4,2.5,,,,,,,,,,,,,,,,,
School CD,156585,12,BLS,Hispanic,Spanish,Spanish,,,,2,2.1,,,,,,,,,,,,,,,,,
School L,128680,2,BLS,Hispanic,Spanish,Spanish,,,,2.5,2.6,,,,,,,,,,,,,,,,,
School BO,135994,8,SA4,Black,Cape Verdean,English,Cape Verdean,Portuguese,A4,2.3,2.4,,,,,,,,,,,,,,,,,
School AN,104565,1,REG,Black,Cape Verdean,English,Cape Verdean,,,2.3,2.4,,,,,,,,,,,,,,,,,
School BX,164650,9,SI4,Hispanic,Spanish,Spanish,,,L3,2.4,2.5,,,,,,,,,,,,,,,,,
School CK,166931,6,BLM,Asian,Mandarin,Cantonese,Mandarin,Toishanese,,2.5,2.6,,,,,,,,,,,,,,,,,
School CF,188023,8,REG,Hispanic,Spanish,Other,Spanish,,,2.5,2.6,,,,,,,,,,,,,,,,,
School S,165707,1,REG,White,English,English,Kurdish,,,2.8,2.9,,,,,,,,,,,,,,,,,
School BQ,247297,7,REG,Hispanic,Spanish,English,Spanish,,R1,2.5,2.6,,,,,,,,,,,,,,,,,
School V,145785,12,BLH,Black,Haitian Creole,Portuguese,,,,2.4,2.5,,,,,,,,,,,,,,,,,
School CA,161903,12,BLS,Hispanic,Spanish,Spanish,English,,,2,2.1,,,,,,,,,,,,,,,,,
School C,209320,3,BLS,Hispanic,Spanish,Spanish,,,,2.8,2.9,,,,,,,,,,,,,,,,,
School CD,275400,11,BLM,White,Portuguese,Portuguese,,,,2.2,2.3,,,,,,,,,,,,,,,,,
School F,173547,1,BLC,Asian,Cantonese,Cantonese,,,,2.7,2.8,,,,,,,,,,,,,,,,,
School O,193465,2,BLM,Hispanic,Portuguese,Portuguese,,,,2.7,2.8,,,,,,,,,,,,,,,,,
School CN,134582,9,VEP,Hispanic,Spanish,Spanish,,,,2.2,2.3,,,,,,,,,,,,,,,,,
School T,227915,3,BLM,Hispanic,Spanish,English,Spanish,,,2.7,2.8,,,,,,,,,,,,,,,,,
School BU,136609,11,BLM,Black,Somali,Somali,,,,2.2,2.3,,,,,,,,,,,,,,,,,
School X,215676,6,TLS,Hispanic,Spanish,Spanish,,,R2,2.7,2.8,,,,,,,,,,,,,,,,,
School A,239199,2,BLM,Hispanic,Spanish,Spanish,,,,2.7,2.8,,,,,,,,,,,,,,,,,
School BN,210877,8,SA4,Black,Haitian Creole,English,Haitian Creole,,A4,2.2,2.3,,,,,,,,,,,,,,,,,
School J,204002,6,BLK,Black,Cape Verdean,Cape Verdean,Portuguese,,,2.7,2.8,,,,,,,,,,,,,,,,,
School DB,171150,12,REG,Black,Haitian Creole,Haitian Creole,,,,2.7,2.8,,,,,,,,,,,,,,,,,
School CO,256977,7,SI4,Hispanic,English,English,Spanish,,Q3,2.7,2.8,,,,,,,,,,,,,,,,,
School J,161398,3,BLK,Black,Cape Verdean,Spanish,Spanish,Portuguese,R1,2.2,2.3,,,,,,,,,,,,,,,,,
School AF,285504,8,SI4,Hispanic,Spanish,Other,Spanish,,L3,2.7,2.8,,,,,,,,,,,,,,,,,
School R,280548,2,BLM,Black,Haitian Creole,Haitian Creole,,,,2.2,2.3,,,,,,,,,,,,,,,,,
School CW,103829,4,SI4,Hispanic,Spanish,English,Spanish,English,Y3,2.2,2.3,,,,,,,,,,,,,,,,,
School AJ,145849,2,TLE,Hispanic,Spanish,English,Spanish,,,2.7,2.8,,,,,,,,,,,,,,,,,
School CD,158404,10,BLM,Hispanic,Portuguese,Portuguese,Spanish,English,,2.2,2.3,,,,,,,,,,,,,,,,,
School U,227258,2,BLM,Asian,English,Vietnamese,,,,2.7,2.8,,,,,,,,,,,,,,,,,
School C,180593,2,BLS,Hispanic,Spanish,Spanish,,,,2.2,2.3,,,,,,,,,,,,,,,,,
School BB,159217,2,REG,Black,Somali,English,Somali,,,2.8,2.8,,,,,,,,,,,,,,,,,
School W,252370,11,SA4,Hispanic,Spanish,Spanish,,,A4,2.7,2.7,,,,,,,,,,,,,,,,,
School BU,232322,12,BLM,Black,Haitian Creole,Haitian Creole,,,,2.2,2.2,,,,,,,,,,,,,,,,,
School V,296071,7,REG,Hispanic,Spanish,Spanish,English,,,2.9,2.9,,,,,,,,,,,,,,,,,
School X,211768,5,TLS,Hispanic,Spanish,English,Spanish,,,2.5,2.5,,,,,,,,,,,,,,,,,
School J,287588,5,BLK,Black,Cape Verdean,Cape Verdean,,,R2,2.3,2.3,,,,,,,,,,,,,,,,,
School CN,288182,9,VEP,Black,Cape Verdean,Cape Verdean,,,,2.6,2.6,,,,,,,,,,,,,,,,,
School CE,119986,2,REG,Black,English,Cape Verdean,,,,2.5,2.5,,,,,,,,,,,,,,,,,
School X,249469,8,TLS,Hispanic,Spanish,Spanish,,,,2.6,2.6,,,,,,,,,,,,,,,,,
School W,298237,12,REG,Black,Tigrinya,Tigrinya,,,R2,2,2,,,,,,,,,,,,,,,,,
School BO,295903,1,REG,Hispanic,English,English,Spanish,,R1,2.2,2.2,,,,,,,,,,,,,,,,,
School AJ,153102,5,TLS,Hispanic,Spanish,Spanish,,,R1,2.9,2.9,,,,,,,,,,,,,,,,,
School AS,296256,8,SI4,Hispanic,Spanish,Spanish,,,X3,2.4,2.4,,,,,,,,,,,,,,,,,
School L,241513,8,REG,Hispanic,Spanish,Spanish,,,R2,2.8,2.8,,,,,,,,,,,,,,,,,
School BQ,107680,2,REG,White,Spanish,English,Spanish,,S1,2.4,2.4,,,,,,,,,,,,,,,,,
School BC,110513,3,SI4,Hispanic,English,English,Spanish,,Y3,2.8,2.8,,,,,,,,,,,,,,,,,
School CD,129034,12,REG,Black,Cape Verdean,Cape Verdean,,,R2,2.6,2.6,,,,,,,,,,,,,,,,,
School BU,191853,11,BLM,Hispanic,Spanish,Spanish,,,,2.1,2.1,,,,,,,,,,,,,,,,,
School Z,114971,8,SA4,Hispanic,Spanish,English,Spanish,,A4,2.3,2.3,,,,,,,,,,,,,,,,,
School AT,154194,8,SI4,Black,Cape Verdean,Cape Verdean,,,L3,2,2,,,,,,,,,,,,,,,,,
School C,200477,6,REG,Black,Spanish,Spanish,,,,2.5,2.5,,,,,,,,,,,,,,,,,
School CD,250654,12,SA4,Hispanic,Spanish,Spanish,,,A4,2.2,2.2,,,,,,,,,,,,,,,,,
School J,242254,5,REG,Hispanic,English,English,Spanish,,R1,2.6,2.6,,,,,,,,,,,,,,,,,
School BP,182151,10,BLK,Black,Cape Verdean,Cape Verdean,Portuguese,,,2.9,2.9,,,,,,,,,,,,,,,,,
School CA,209943,12,BLS,Hispanic,Spanish,Spanish,,,,2,2,,,,,,,,,,,,,,,,,
School V,163709,6,SI4,Hispanic,Spanish,Other,,,L3,2.6,2.6,,,,,,,,,,,,,,,,,
School CQ,207475,10,REG,Hispanic,Spanish,English,Spanish,,R2,2.8,2.8,,,,,,,,,,,,,,,,,
School CV,184064,10,TLS,Hispanic,Spanish,Spanish,,,,2.5,2.5,,,,,,,,,,,,,,,,,
School L,289535,3,BLS,Hispanic,Spanish,Spanish,English,,R1,2.6,2.6,,,,,,,,,,,,,,,,,
School N,231750,3,BLS,Hispanic,Spanish,Spanish,,,,2.8,2.8,,,,,,,,,,,,,,,,,
School BL,292395,2,SI4,Hispanic,Spanish,Spanish,,,L3,2.6,2.6,,,,,,,,,,,,,,,,,
School BU,107118,10,BLM,Black,Haitian Creole,Haitian Creole,,,,2.8,2.8,,,,,,,,,,,,,,,,,
School BX,220091,9,SA4,Black,Haitian Creole,Haitian Creole,,,A4,2.2,2.2,,,,,,,,,,,,,,,,,
School BP,223876,8,SI4,Black,Cape Verdean,English,Cape Verdean,,L3,2.6,2.6,,,,,,,,,,,,,,,,,
School BN,229566,7,SA4,Black,Cape Verdean,Cape Verdean,,,A4,2.2,2.2,,,,,,,,,,,,,,,,,
School X,140731,7,TLS,Hispanic,Spanish,Spanish,,,,2.6,2.6,,,,,,,,,,,,,,,,,
School CU,221051,12,BLM,Hispanic,Spanish,English,Spanish,,,2.8,2.8,,,,,,,,,,,,,,,,,
School S,259347,2,REG,Black,English,English,Spanish,Haitian Creole,S1,2.1,2.1,,,,,,,,,,,,,,,,,
School X,157387,8,TLS,Hispanic,Spanish,Spanish,,,,2.6,2.6,,,,,,,,,,,,,,,,,
School CJ,225192,8,SI4,Hispanic,Spanish,Spanish,,,L3,2.5,2.5,,,,,,,,,,,,,,,,,
School BQ,268476,3,REG,Hispanic,Spanish,Spanish,Spanish,,S1,2.8,2.8,,,,,,,,,,,,,,,,,
School X,210096,8,TLS,Hispanic,Spanish,Spanish,,,,2,2,,,,,,,,,,,,,,,,,
School BU,120660,12,BLM,Hispanic,Spanish,Spanish,,,,2.6,2.6,,,,,,,,,,,,,,,,,
School N,116770,2,SI4,Hispanic,Spanish,Spanish,English,,X3,2.3,2.3,,,,,,,,,,,,,,,,,
School BU,187090,10,BLM,Hispanic,Spanish,Spanish,,,R2,2.7,2.7,,,,,,,,,,,,,,,,,
School BD,294527,3,REG,Black,Haitian Creole,Haitian Creole,,,,2.9,2.9,,,,,,,,,,,,,,,,,
School AL,101291,7,REG,Hispanic,Spanish,English,Spanish,,,2.6,2.6,,,,,,,,,,,,,,,,,
School BU,100621,11,BLM,Black,Swahili,English,Swahili,Somali,,2.6,2.6,,,,,,,,,,,,,,,,,
