School Name,Student Number,Grade,Program Code,BPS Race,First Lang,Home Lang,Home Lang 2,Home Lang 3,SN Code,21-22 ACCESS Overall,22-23 ACCESS Overall,,,,,,,,,,,,,,,,,
School AV,245540,4,TLH,Black,Haitian Creole,French,Haitian Creole,,,2.9,5,,,,,,,,,,,,,,,,,
School L,241021,4,REG,Hispanic,Spanish,English,Spanish,,,2.5,4.6,,,,,,,,,,,,,,,,,
School AN,172944,2,REG,Other,Haitian Creole,Haitian Creole,English,,,2.4,4.4,,,,,,,,,,,,,,,,,
School AW,200676,9,REG,Hispanic,Spanish,Spanish,,,,2,4,,,,,,,,,,,,,,,,,
School Y,147899,2,REG,Hispanic,Spanish,Spanish,,,,2,4,,,,,,,,,,,,,,,,,
School AX,270131,4,REG,Hispanic,Spanish,English,Spanish,,,2,4,,,,,,,,,,,,,,,,,
School AY,275699,1,REG,Black,English,English,Haitian Creole,,,2,4,,,,,,,,,,,,,,,,,
School F,179559,4,BLC,Asian,Mandarin,English,Mandarin,,,2.7,4.7,,,,,,,,,,,,,,,,,
School AN,206726,3,REG,Black,Cape Verdean,English,Cape Verdean,,,2.8,4.8,,,,,,,,,,,,,,,,,
School AB,229221,4,BLS,Hispanic,Spanish,English,Spanish,,,2.8,4.8,,,,,,,,,,,,,,,,,
School O,101941,4,REG,Hispanic,Spanish,English,Spanish,,,2.7,4.7,,,,,,,,,,,,,,,,,
School AZ,235587,5,REG,Hispanic,Spanish,English,Spanish,,,2.3,4.3,,,,,,,,,,,,,,,,,
School X,271831,5,TLS,Hispanic,Spanish,Spanish,,,R1,1.8,3.7,,,,,,,,,,,,,,,,,
School X,183357,2,TLE,Hispanic,Spanish,Spanish,,,,1.7,3.6,,,,,,,,,,,,,,,,,
School BA ,230881,1,BLM,Hispanic,Portuguese,Portuguese,,,,1.8,3.7,,,,,,,,,,,,,,,,,
School BB,204996,3,REG,Hispanic,Spanish,Spanish,English,,,1.8,3.7,,,,,,,,,,,,,,,,,
School AH,145942,1,REG,Hispanic,Spanish,Spanish,English,,,1.8,3.7,,,,,,,,,,,,,,,,,
School AH,199119,1,REG,White,English,English,Albanian,,S1,1.2,3.1,,,,,,,,,,,,,,,,,
School F,261473,1,BLC,Asian,Cantonese,Cantonese,Cantonese,Chinese,,1.7,3.6,,,,,,,,,,,,,,,,,
School AQ,208618,9,REG,Hispanic,Spanish,English,Spanish,,,1.9,3.8,,,,,,,,,,,,,,,,,
School BC,183401,2,REG,Hispanic,Spanish,English,,,,1.9,3.8,,,,,,,,,,,,,,,,,
School AN,136420,1,REG,Hispanic,Spanish,English,Spanish,,,1,2.9,,,,,,,,,,,,,,,,,
School M,187973,1,BLS,Hispanic,Spanish,Spanish,,,,1,2.9,,,,,,,,,,,,,,,,,
School M,199344,1,REG,Asian,Bengali,Bengali,,,,1.5,3.4,,,,,,,,,,,,,,,,,
School BB,299511,2,REG,Black,Cape Verdean,Cape Verdean,,,,1.9,3.8,,,,,,,,,,,,,,,,,
School AD,267469,1,BLM,Hispanic,Portuguese,Portuguese,,,,1,2.9,,,,,,,,,,,,,,,,,
School X,124561,1,TLS,Hispanic,Spanish,Spanish,,,,1.5,3.4,,,,,,,,,,,,,,,,,
School F,157206,1,BLC,Asian,Cantonese,Cantonese,English,Toishanese,,1.4,3.3,,,,,,,,,,,,,,,,,
School BD,227747,5,REG,Hispanic,Spanish,English,Spanish,,R1,1.9,3.8,,,,,,,,,,,,,,,,,
School AP,230820,5,REG,Hispanic,Spanish,Spanish,English,,R2,1.6,3.5,,,,,,,,,,,,,,,,,
School AR,240914,1,REG,Asian,Vietnamese,Vietnamese,,,,1.9,3.8,,,,,,,,,,,,,,,,,
School AU,284224,1,REG,Hispanic,Portuguese,Spanish,English,,,1.5,3.4,,,,,,,,,,,,,,,,,
School F,181746,1,BLC,Asian,Chinese,Chinese,,,,1.5,3.4,,,,,,,,,,,,,,,,,
School S,299747,3,BLS,Hispanic,Spanish,Spanish,,,,1.5,3.4,,,,,,,,,,,,,,,,,
School BE,155978,1,REG,Black,Cape Verdean,English,Cape Verdean,,,1.5,3.4,,,,,,,,,,,,,,,,,
School J,113118,4,BIK,Black,Cape Verdean,Cape Verdean,,,,1.5,3.4,,,,,,,,,,,,,,,,,
School X,179941,1,TLS,Hispanic,Spanish,Spanish,,,,1.4,3.3,,,,,,,,,,,,,,,,,
School M,246696,1,BLS,White,Spanish,Spanish,English,,S1,1.1,3,,,,,,,,,,,,,,,,,
School R,103814,1,BLM,Black,Portuguese,Haitian Creole,Portuguese,,,1.4,3.2,,,,,,,,,,,,,,,,,
School AJ,137171,1,TLE,Hispanic,Spanish,English,Spanish,,,1.9,3.7,,,,,,,,,,,,,,,,,
School R,172994,2,BLM,Black,Haitian Creole,Haitian Creole,,,,1.9,3.7,,,,,,,,,,,,,,,,,
School BF,219391,8,REG,Hispanic,Spanish,Spanish,,,,1.9,3.7,,,,,,,,,,,,,,,,,
School AY,133171,1,BLC,Asian,Toishanese,Toishanese,English,,,1.9,3.7,,,,,,,,,,,,,,,,,
School BG,192856,1,REG,Black,English,English,,,,1.9,3.7,,,,,,,,,,,,,,,,,
School AD,177592,8,BLM,Hispanic,Portuguese,Portuguese,,,,1.9,3.7,,,,,,,,,,,,,,,,,
School O,209176,5,REG,Hispanic,Portuguese,Portuguese,,,,1.9,3.7,,,,,,,,,,,,,,,,,
School AR,231633,1,REG,Black,Portuguese,Cape Verdean,Portuguese,English,,1.9,3.7,,,,,,,,,,,,,,,,,
School BH,182620,3,REG,Hispanic,Spanish,English,Spanish,,R1,1.9,3.7,,,,,,,,,,,,,,,,,
School AD,264949,1,BLM,Hispanic,Spanish,Spanish,,,,1.4,3.2,,,,,,,,,,,,,,,,,
School BI,288488,1,REM,White,Russian,Russian,English,,,1.9,3.7,,,,,,,,,,,,,,,,,
School C,175466,1,BLS,Hispanic,Spanish,Spanish,,,,1.9,3.7,,,,,,,,,,,,,,,,,
School BJ,212046,3,BLS,Hispanic,Spanish,Spanish,,,,1.9,3.7,,,,,,,,,,,,,,,,,
School AA,278300,3,BLM,Black,Haitian Creole,English,Haitian Creole,,,1.8,3.6,,,,,,,,,,,,,,,,,
School AJ,221880,2,TLE,Hispanic,Spanish,Spanish,English,,,1.7,3.5,,,,,,,,,,,,,,,,,
School O,297936,1,BLM,Hispanic,Spanish,Spanish,,,,1.7,3.5,,,,,,,,,,,,,,,,,
School M,233805,5,REG,Hispanic,Spanish,Spanish,,,,1.8,3.6,,,,,,,,,,,,,,,,,
School F,160916,1,REG,Other,Vietnamese,English,Vietnamese,,,1.7,3.5,,,,,,,,,,,,,,,,,
School AD,113813,2,BLM,Nat. Amer.,Spanish,Spanish,Spanish,,,1.8,3.6,,,,,,,,,,,,,,,,,
School A,241687,4,BLM,Hispanic,Spanish,Spanish,,,,1.8,3.6,,,,,,,,,,,,,,,,,
School Q,240233,3,REG,Black,Cape Verdean,Cape Verdean,Portuguese,,,1.7,3.5,,,,,,,,,,,,,,,,,
School AH,164643,1,REG,Hispanic,English,Spanish,,,S1,1.3,3.1,,,,,,,,,,,,,,,,,
School S,246473,5,BLS,Black,Spanish,Spanish,Haitian Creole,,,1.7,3.5,,,,,,,,,,,,,,,,,
School AH,114912,1,BLS,Hispanic,Spanish,Spanish,,,,1.3,3.1,,,,,,,,,,,,,,,,,
